index,file_name,program_name,start_time,end_time,speaker,transcription,start_time_ms,end_time_ms
3757,4697.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:00:56.960000,00:01:22.200000,إبراهيم القرعاوي,وأنا إبراهيم القرعاوي,1016000,282000
3761,4701.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:05:07.420000,00:05:14.060000,ثمود بن محفوظ,وقبل أن ننهي الحلقة، هذه أخبار على السريع.,727000,374000
3762,4702.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:05:14.060000,00:05:49.220000,ثمود بن محفوظ,أعلنت الهيئة العامة للغذاء عن اعتمادها لعلاج مبتكر باسم «كاسكيفي» وهو أول علاج جيني يستخدم تقنية «كريسبر كاس 9» لمعالجة مرض فقر الدم المنجلي. وهذا المرض يُعتبر مرض وراثي يخاف منه الكثيرين وينتقل لهم دون إرادتهم. العلاج هذا يعمل عبر تدخل الجيني للطفرة الوراثية في الجين المتضرر، ويمكّن الجسم من إنتاج الهيموقلوبين بشكل صحيح من خلال استخلاص خلايا جذعية من نخاء عظم المريض ثم تعديلها جينيًّا، وإعادة زراعتها مجددًا في جسم المريض اللي يمنحها تأثير علاجي طويل المدى.,374000,569000
3763,4703.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:05:49.220000,00:06:14.440000,ثمود بن محفوظ,أعلنت شركة الشحن الصينية «كوسكو» أنها أوقفت الشحن تمامًا إلى إسرائيل. وبالرغم من أنها ما أعلنت عن السبب للصحافة إلا أن السبب المتوقع هو الهجمات التي نفذها الحوثي المدعوم من إيران في اليمن على الممرات الملاحية في البحر الأحمر. وكانت جماعة الحوثي أعلنت قبل فترة استهدافها لكل السفن اللي تمر في البحر الأحمر اللي أربك حركة الشحن البحري عالميًّا.,569000,814000
3764,4704.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:06:14.440000,00:06:48.280000,ثمود بن محفوظ,أعلن الجيش الأمريكي ضربة جوية على منصة إطلاق صواريخ كانت تستهدف قاعدة الأسد. اللي تضم قوات أمريكية ودولية أخرى في غرب العراق. العراق قالت أن قاذفة الصواريخ كانت مثبتة للإطلاق باتجاه القاعدة بينما قال مسؤولين بالجيش أن الضربة الجوية الأمريكية دمرت القاذفة. تضم قاعدة الأسد في العراق 2500 جندي أمريكي مهمتهم تقديم المشورة والمساعدة للقوات المحلية اللي تحاول منع عودة داعش على الأراضي العراقية.,814000,688000
3765,4705.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:06:48.280000,00:06:53.260000,إبراهيم القرعاوي,أنتج هذه الحلقة سفر عياد وحسام الخولي، وقدمتها أنا إبراهيم القرعاوي.,688000,673000
3766,4706.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:06:53.260000,00:06:58.140000,ثمود بن محفوظ,وأنا ثمود بن محفوظ.,673000,558000
3767,4707.wav,ماذا سيتغير بعد تأشيرة العمرة الجديدة,00:06:58.140000,0:07:07.206531,إبراهيم القرعاوي,وحررها تيسير قباني، نشوفكم بكرة الفجر.,558000,633531
3768,4708.wav,أين تجد أعلى راتب في السعودية,00:00:00.270000,00:00:12.030000,Speaker 1,الله يسقي أبها أروح الجامعة أروح أي مشوار أبغاه قوقل دائمًا أزرق ما أشيل همه أنا هنا أهم شيء قبل ما أمشي لازم أفتح قوقل إذا شفت بس كذا شوية حمرة,270000,42000
3769,4709.wav,أين تجد أعلى راتب في السعودية,00:00:12.030000,00:00:13.110000,Speaker 1,قلبي يضيق علي,42000,123000
3770,4710.wav,أين تجد أعلى راتب في السعودية,00:00:13.110000,00:00:48.390000,Speaker 2,إنت جاي في أسوأ فترة يعني الرياض دائمًا زحمة، وأنا نفسك أنا جاي من الطائف ما أعرف الزحمة المفروض بس السنة هذه السنة مو طبيعية أنا لي ثلاث سنوات يعني أنا أحيانًا أرجع عيال عمتي المدرسة بحكم أنهم قريب من الدوام فأمرهم من المدرسة و أرجعهم البيت فالسنة اللي راحت هذا المشوار كان يأخذ مني عشرين دقيقة أوخمسة وعشرين دقيقة من مدرستهم لبيتهم، السنة هذه أقل شيء خمسين دقيقة العادة ساعة فالوضع صاير مو طبيعي متفاقم,123000,438000
3771,4712.wav,أين تجد أعلى راتب في السعودية,00:00:48.810000,00:00:58.910000,Speaker 2,هذا بودكاست الفجر من ثمانية بودكاست فجر كل يوم نسرد لكم فيه سياق الأخبار اللي تهمكم معكم أنا مازن العتيبي,858000,968000
3772,4713.wav,أين تجد أعلى راتب في السعودية,00:00:58.910000,00:01:02.030000,Speaker 1,وأنا سعد طحيطح,968000,92000
3773,4714.wav,أين تجد أعلى راتب في السعودية,00:01:02.030000,00:01:11.390000,Speaker 2,الخبر الأول اليوم هو أن السعودية تزيد من حصتها السوقية من النفط في الأسواق الأوروبية وتعوض النقص الحاصل من العقوبات العالمية على روسيا,92000,461000
3774,4715.wav,أين تجد أعلى راتب في السعودية,00:01:11.390000,00:01:22.070000,Speaker 1,والخبر الثاني عن المؤسسات العامة للتأمينات الاجتماعية اللي أصدرت تقرير يفصل بيانات أكثر من تسعة مليون وظيفة في السعودية,461000,152000
3776,4717.wav,أين تجد أعلى راتب في السعودية,00:02:34.310000,00:02:35.630000,Speaker 1,وش سالفة هذا الخط؟,464000,785000
3779,4721.wav,أين تجد أعلى راتب في السعودية,00:04:46.520000,00:05:01.870000,Speaker 2,لكن هذا مو النمو المطلوب ولا الاحتياج المطلوب الاحتياج زيادة هو 2.1 مليون برميل بالمقابل اللي جاء للناس 1.6 مليون برميل هذا يعطيك لمحة لوين نحن رايحين بالنفط,806000,1171000
3780,4723.wav,أين تجد أعلى راتب في السعودية,00:05:47.020000,00:05:48.730000,Speaker 2,أوف دبل!,367000,1078000
3781,4725.wav,أين تجد أعلى راتب في السعودية,00:06:10.570000,00:06:13.480000,Speaker 2,هذا هو سبب الزحمة,940000,853000
3783,4728.wav,أين تجد أعلى راتب في السعودية,00:07:38.590000,00:08:07.450000,Speaker 1,صح ولو بنشوف كيف يؤثر النفط على القطاع الخاص في السعودية ففي المملكة عمومًا في تسعة عشر وظيفة في القطاع الخاص لكل وظيفة بالقطاع الحكومي وفي الرياض مثلا رقم 16.3 لكن في الشرقية خمسة وستين وظيفة بالقطاع الخاص لكل وظيفة بالقطاع الحكومي، الفائدة من هذا الكلام كله الشرقية وظائف و راتب وبحر وش مجلسنا هنا؟ بس رطوبة,1048000,937000
3784,4729.wav,أين تجد أعلى راتب في السعودية,00:08:07.450000,00:08:11.690000,Speaker 2,هذا هو المانع,937000,1181000
3785,4731.wav,أين تجد أعلى راتب في السعودية,00:09:57.830000,00:10:03.170000,Speaker 1,أنتج هذه الحلقة تركي القحطاني وعمر العمران وقدمتها أنا سعد طحيطح,1427000,773000
3786,4732.wav,أين تجد أعلى راتب في السعودية,00:10:03.170000,00:10:04.400000,Speaker 2,و مازن العتيبي,773000,1004000
3787,4733.wav,أين تجد أعلى راتب في السعودية,00:10:04.400000,00:10:06.290000,Speaker 1,وحررها محمود أبو ندى,1004000,896000
3788,4734.wav,أين تجد أعلى راتب في السعودية,00:10:06.290000,0:10:17.848163,Speaker 1,نشوفكم بكرة الفجر,896000,1465163
3790,4737.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:01:05.660000,00:01:13.040000,محمد الفوزان,بالضبط، وهذا اللي قاعد يصير معي، أن أنا، الحمد لله، عقليتي متطورة بس يعني إذا خلصنا برنامج، أنا ذكي ولّا غبي؟,725000,113000
3791,4738.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:01:13.040000,00:01:18.140000,شهاب سمير,لا، ذكي أنت الاثنين، ما شاء الله، عليك,113000,218000
3792,4740.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:01:21.820000,00:01:27.400000,شهاب سمير,هذا بودكاست الفجر من ثمانية بودكاست فجر كل يوم نسرد لكم فيه سياق الأخبار اللي تهمكم.,901000,487000
3793,4742.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:01:28.860000,00:01:42.980000,محمد الفوزان,وأنا محمد الفوزان,948000,1082000
3798,4750.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:11:11.000,00:11:13.080000,محمد الفوزان,أنتج هذه الحلقة: حسام الخولي.,671000,753000
3799,4751.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:11:13.080000,00:11:15.080000,محمد الفوزان,وقدمتها أنا محمد الفوزان,753000,755000
3800,4752.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:11:15.080000,00:11:16.500000,شهاب سمير,وأنا شهاب سمير,755000,1176000
3801,4753.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:11:16.500000,00:11:18.860000,محمد الفوزان,وحرّرها: تيسير قباني.,1176000,1538000
3802,4754.wav,أمل الاحتلال الأخير لتهجير الفلسطينيين,00:11:18.860000,0:11:28.796735,محمد الفوزان,نشوفكم بكرة الفجر.,1538000,1484735
3803,4755.wav,لماذا فشل جارديم,00:00:00.600000,00:00:10.540000,صوت إذاعي,سيداتي آنساتي سادتي,600000,550000
3805,4757.wav,لماذا فشل جارديم,00:01:42.280000,00:01:44.080000,أبو علي,يا هلا وسهلا يا أبو سعود.,382000,184000
3806,4758.wav,لماذا فشل جارديم,00:01:44.080000,00:01:45.250000,أبو سعود,أخيرًا بدأنا,184000,355000
3807,4759.wav,لماذا فشل جارديم,00:01:45.250000,00:02:10.900000,أبو علي,أخيرًا، وأنا جدًا سعيد أنه بدأنا وملفات ساخنة جدًا مع البداية تتكلم عن وضع يغلي في الهلال نوعًا ما يغلي يمكن مباراة الأهلي أثارت حالة حنق كبيرة جدًا عند الهلاليين. وأكيد أنه أيضًا عندنا منافسات الدوري المحلي الوضعية الممتازة اللي فيها الاتحاد نهاية سلسلة انتصارات وفترة مميزة جدًا بالنسبة للنصر فأعتقد أنه عندنا أكثر من مواد دسمة كثير جدًا في هالحلقة,355000,1030000
3808,4760.wav,لماذا فشل جارديم,00:02:10.900000,00:02:19.200000,أبو سعود,تبدأ برتيم عالي لياقتك كويسة بإذن الله يا أبو علي مثل ما أعرفك سؤال نفتتح به الحلقة، في خسارة بشرف؟,1030000,339000
3810,4762.wav,لماذا فشل جارديم,00:03:44.040000,00:03:46.050000,أبو سعود,تؤمن فيه أنت أبو علي ولا ما تؤمن فيه؟,264000,276000
3811,4763.wav,لماذا فشل جارديم,00:03:46.050000,00:03:54.840000,أبو علي,شوف أنا ماني معه على طول وكثرة استخدامه والإفراط فيه وأيضًا أنا ماني ضد زي بعض الناس يقول لك ما في شيء اسمه خسارة بشرف.,276000,1074000
3812,4764.wav,لماذا فشل جارديم,00:03:54.840000,00:03:58.050000,أبو سعود,طيب وش معيارك إنك تصير معه؟,1074000,288000
3814,4766.wav,لماذا فشل جارديم,00:04:41.100000,00:04:42.210000,أبو سعود,غير مشرف,381000,492000
3815,4769.wav,لماذا فشل جارديم,00:07:05.960000,00:07:06.360000,أبو علي,تأهل,1385000,786000
3816,4770.wav,لماذا فشل جارديم,00:07:06.360000,00:07:06.570000,أبو سعود,تأهل اي,786000,996000
3817,4771.wav,لماذا فشل جارديم,00:07:06.570000,00:07:08.450000,أبو علي,بس لو خسر تقول عنها خسارة مشرفة؟,996000,878000
3820,4774.wav,لماذا فشل جارديم,00:09:29.420000,00:09:29.870000,أبو علي,صحيح,989000,1439000
3821,4775.wav,لماذا فشل جارديم,00:09:29.870000,00:09:54.360000,أبو سعود,ودورتموند كان حق الدوري مع يورقن كلوب، وبعد ذلك بدأت سطوة بايرن في الدوري فكان مستوى التنافسية عالي جدًا. فلما تدخل الجزائر وتستميت في هذه المباراة وتخسر ما عندي أدنى شك أنه الشعب الجزائري في تلك المباراة يقول هذه الليلة أجمل بكثير من اللي أنا عشتها قدام كوريا مع إني فزت على كوريا أربعة.,1439000,954000
3822,4776.wav,لماذا فشل جارديم,00:09:54.360000,00:09:54.590000,أبو علي,صحيح,954000,1184000
3823,4778.wav,لماذا فشل جارديم,00:11:12.650000,00:11:18.800000,أبو علي,يمكنها ترجعنا لنفس النقطة يا خالد اللي هو إنه عندك أنت تهيئة نفسية قبل المباراة إنه أنت بتخسر,1322000,1478000
3824,4779.wav,لماذا فشل جارديم,00:11:18.800000,00:11:19.430000,أبو سعود,صحيح,1478000,1109000
3825,4781.wav,لماذا فشل جارديم,00:11:24.530000,00:11:25.400000,أبو سعود,أتفق,1214000,1085000
3826,4782.wav,لماذا فشل جارديم,00:11:25.400000,00:11:30.020000,أبو علي,إلا إذا صار ظروف مثلًا خارجة عن إرادة فريق نتكلم عن حرب باردة وإصابات.,1085000,710000
3827,4784.wav,لماذا فشل جارديم,00:13:12.740000,00:13:27.350000,أبو علي,طيب نحن سنأتي على المباريات الثلاثة التي خاضها الهلال في كأس العالم بالتفصيل. لكن إجمالًا أعطيني عنوان لمشاركة الهلال في كأس العالم للأندية. هل تصفها بأنها أفضل من نسخة 2019 ولا مساوية أو أسوء؟,1532000,1157000
3828,4785.wav,لماذا فشل جارديم,00:13:27.350000,00:13:29.330000,أبو سعود,نسخة 2019 كانت أفضل,1157000,1139000
3829,4786.wav,لماذا فشل جارديم,00:13:29.330000,00:13:29.670000,أبو علي,أفضل؟,1139000,1479000
3830,4787.wav,لماذا فشل جارديم,00:13:29.670000,00:13:29.850000,أبو سعود,نعم,1479000,1659000
3831,4788.wav,لماذا فشل جارديم,00:13:29.850000,00:13:33.050000,أبو علي,هل الهلال كان مطالب أساسًا بشيء أفضل من 2019؟,1659000,863000
3832,4789.wav,لماذا فشل جارديم,00:13:33.050000,00:13:46.310000,أبو سعود,نعم كان في يده شيء أفضل، أنا الهلال المفروض إنه أداءه من الوقت الذي دخل فيه خلنا نقول مباراة تشلسي كان أو اللي دخل فيه جدولة البطولة وفي طريقه تشيلسي هدفك البرونزية.,863000,1136000
3833,4790.wav,لماذا فشل جارديم,00:13:46.310000,00:13:49.610000,أبو علي,نقدر نعتبرها مشاركة مخيبة ولا قاسي الوصف شوي؟,1136000,1439000
3834,4791.wav,لماذا فشل جارديم,00:13:49.610000,00:13:54.680000,أبو سعود,لا قاسي لأنه الليلة الأخيرة هي المخيبة أمانةً مخيبة جدًا.,1439000,1514000
3835,4793.wav,لماذا فشل جارديم,00:14:09.200000,00:14:10.340000,أبو سعود,هو اللي بوقفك عن تقييم,1049000,1190000
3836,4795.wav,لماذا فشل جارديم,00:16:38.580000,00:16:39.770000,أبو سعود,تتكلم عن مباراة الهلال ولا الأهلي المصري؟,1578000,1769000
3837,4796.wav,لماذا فشل جارديم,00:16:39.770000,00:16:40.480000,أبو علي,الجزيرة.,1769000,1480000
3840,4799.wav,لماذا فشل جارديم,00:19:17.470000,00:19:22.480000,أبو علي,طوال تاريخ الهلال يا أبو سعود واحدة من الأشياء اللي دائمًا ما تعيب الهلال,1627000,1642000
3841,4800.wav,لماذا فشل جارديم,00:19:22.480000,00:19:23.350000,أبو سعود,حتى مع الهلال,1642000,1513000
3842,4801.wav,لماذا فشل جارديم,00:19:23.350000,00:19:29.800000,أبو علي,يقول لك لما يلاقي فرصة إنه يحقق «نتيجة» كبير في المباراة لا الفريق غيريتس ما في,1513000,1969000
3843,4802.wav,لماذا فشل جارديم,00:19:29.800000,00:19:30.220000,أبو سعود,حتى مع غيريتس؟,1969000,1390000
3844,4803.wav,لماذا فشل جارديم,00:19:30.220000,00:19:37.640000,أبو علي,أتذكر حتى مباراة الهلال الشهيرة خمسة واحد أمام النصر اللقطة اللي دياز سحب ما أتذكر مين اللي كانوا,1390000,1817000
3845,4804.wav,لماذا فشل جارديم,00:19:37.640000,00:19:38.680000,أبو سعود,خربين اللي سجل لهم «انتصار ثلاثي» ولا؟,1817000,1858000
3846,4805.wav,لماذا فشل جارديم,00:19:38.680000,00:19:42.220000,أبو علي,اي بالضبط والجمهور كان زعلان إنه أنت عندك فرصة تروح لنتيجة أكبر,1858000,1402000
3847,4806.wav,لماذا فشل جارديم,00:19:42.220000,00:19:42.750000,أبو سعود,ليش نزل بوناتيني؟,1402000,1932000
3848,4807.wav,لماذا فشل جارديم,00:19:42.750000,00:19:53.290000,أبو علي,لكن أعتقد إنه يمكن هالمرة لأنه كأس العالم ومعظم اللاعبين يبغون يسجلون. وممكن أبرز مثال على ذلك لما كان في ما بين بيريرا وكاريلو ومن اللي يسدد ركلات الجزاء.,1932000,1483000
3849,4808.wav,لماذا فشل جارديم,00:19:53.290000,00:19:53.590000,أبو سعود,صحيح,1483000,1783000
3850,4809.wav,لماذا فشل جارديم,00:19:53.590000,00:19:56.980000,أبو علي,كل لاعب ييبغى يحط في تاريخه إنه هو سجل هدف على مستوى كأس العالم,1783000,2176000
3851,4810.wav,لماذا فشل جارديم,00:19:56.980000,00:19:59.830000,أبو سعود,أنت كنت مع بيريرا ولا مع كاريلو وقتها؟,2176000,2029000
3853,4812.wav,لماذا فشل جارديم,00:20:41.800000,00:20:45.550000,أبو سعود,أنت تميل أنه بيريرا هو اللي يمسكها مع أنه ماريقا هو اللي كان متخصص؟,2041000,1795000
3854,4813.wav,لماذا فشل جارديم,00:20:45.550000,00:21:00.340000,أبو علي,هو مش شرط أنه يكون في خيار، شوف اليوم مثلًا على مستوى الاتحاد ما بين رومارينهو غالبًا الركلة الأولى لو صار في ركلة ثانية ممكن تعطى لحمد الله. لكن أنا في ظني أنه على الأقل يخش في قائمة اللاعبين والمنفذين لركلات الجزاء لإنه بخدمك كثير على الجانب.,1795000,1600000
3855,4815.wav,لماذا فشل جارديم,00:21:02.470000,00:21:29.140000,أبو علي,والله مثل ما ذكرت على مباراة الجزيرة عفوًا أشوف أن كانت واحدة من أفضل مباريات الهلال. هي مع مباراة الترجي انتصارين الوحيدة للهلال في مشاركاته في كأس العالم وقد تكون أفضل مباراة قدمها الهلال في كأس العالم. وممكن أعتبرها مع مباراة السد لإنها كانت في نصف نهائي كأس دوري أبطال آسيا 2019 وممكن أفضل مباراتين لعبها الهلال خارج المملكة خلال يمكن آخر خمسة سنوات.,1732000,1429000
3857,4818.wav,لماذا فشل جارديم,00:23:00.980000,00:23:05.510000,أبو سعود,طبعًا يومين يا أبو علي ما ودي أقطعك بس هاليومين تكون يوم ترفيهي ويوم مستشفى,2360000,1895000
3858,4819.wav,لماذا فشل جارديم,00:23:05.510000,00:23:06.470000,أبو علي,بالضبط.,1895000,1856000
3859,4820.wav,لماذا فشل جارديم,00:23:06.470000,00:23:07.520000,أبو سعود,فما عندك أي وقت للتمرين.,1856000,1907000
3860,4821.wav,لماذا فشل جارديم,00:23:07.520000,00:23:09.830000,أبو علي,لكن أنت محضر من قبل,1907000,2219000
3861,4822.wav,لماذا فشل جارديم,00:23:09.830000,00:23:10.100000,أبو سعود,صحيح,2219000,1490000
3863,4825.wav,لماذا فشل جارديم,00:24:22.110000,00:24:58.470000,أبو علي,الظهير الأيسر واحد لاعب خبرة ولاعب ممتاز موجود في الفريق من عدة سنوات وحله مفتاح مهم جدًا بالنسبة للأهلي. هل من المنطق أني أروح أحط قدامه سعود عبد الحميد  اللي من 7 ديسمبر إلى 6 فبراير اللي هي مباراة الهلال والجزيرة لعب خمسة وثلاثين دقيقة بس في آخر شهرين كانت مع المنتخب في مباراة اليابان. أصلًا مشاركته أمام الجزيرة ما كانت منطقي ولكن ممكن لأن الجزيرة منافس أنت ما تخشى من تهديده عليك بشكل كبير وممكن صعوبة المباراة تكون أقل مشت الأمور,1572000,1968000
3864,4826.wav,لماذا فشل جارديم,00:24:58.470000,00:25:01.710000,أبو سعود,حتى لو هو تألق أبو علي في مباراة الجزيرة استغربت أنه ينزل قدام الأهلي؟,1968000,2211000
3865,4827.wav,لماذا فشل جارديم,00:25:01.710000,00:25:12.780000,أبو علي,أنا أعتقد مباراة الجزيرة ما كانت مقياس، ما كانت المقياس لأنه أساسًا ما في خطورة كبيرة عليك. أنا حللت مباراة الجزيرة ومونتيري الجهة اليسرى للجزيرة كانت كارثية,2211000,2292000
3866,4828.wav,لماذا فشل جارديم,00:25:12.780000,00:25:13.110000,أبو سعود,صحيح,2292000,1623000
3867,4830.wav,لماذا فشل جارديم,00:25:18.060000,00:25:19.200000,أبو سعود,اللي هو الظهير الأيسر عبد الله إدريس,1578000,1719000
3868,4832.wav,لماذا فشل جارديم,00:25:36.540000,00:25:36.960000,أبو سعود,أبدًا,2076000,2496000
3871,4836.wav,لماذا فشل جارديم,00:30:39.450000,00:30:39.690000,أبو سعود,صحيح,2289000,2529000
3876,4841.wav,لماذا فشل جارديم,00:35:00.000,00:35:00.210000,أبو علي,صحيح,2100000,2310000
3878,4843.wav,لماذا فشل جارديم,00:36:03.720000,00:36:05.030000,أبو علي,هذه المعلومة أكيدة.,2883000,2195000
3879,4844.wav,لماذا فشل جارديم,00:36:05.030000,00:36:28.920000,أبو سعود,ما يحتاج، الفريق حضّر بتشكيلته وبدأ بتشكيلة بالتحديد الفريق حضّر وتغير فيه عنصرين أساسيين في يوم المباراة. ما هو شيء جديد مباراة الجزيرة الهلال تغيرت في تشكيله وصل الملعب بتشكيلة وبدأ بتشكيلة. وصل الملعب في اسم واحد تغير، في مباراة الأهلي المصري اسمين تغيروا وكلها كانت أسبابها,2195000,3108000
3880,4845.wav,لماذا فشل جارديم,00:36:28.920000,00:36:30.810000,أبو علي,أعطينا مين الأسماء التي تغيرت؟,3108000,3000000
3885,4850.wav,لماذا فشل جارديم,00:43:12.460000,00:43:14.710000,أبو سعود,ولكن كلهم يتحملون هذا الخطأ,3052000,3304000
3888,4854.wav,لماذا فشل جارديم,00:46:29.520000,00:46:46.470000,أبو علي,بالضبط خياراته في المباراة مش منطقية عادةً المهاجم هو أقل لاعب يلمس الكرة في المباراة. بحكم أنه غالبًا ينتقل خلنا نقول بين أحضان المدافعين. حارس المرمى ظهير أيمن عندك غاب عن المباراة الأولى حتى خياراتك ما كانت تدل إنه أنت تغير بدافع الإرهاق,3309000,3276000
3889,4856.wav,لماذا فشل جارديم,00:46:46.600000,00:46:51.730000,أبو علي,لو أنت غيرت كنو أو كويلار بقول لك صح الاثنين قدموا مباراة بدنية أمام لتشلسي وأجهدوا بشكل كبير.,3406000,3541000
3890,4857.wav,لماذا فشل جارديم,00:46:51.730000,00:47:25.950000,أبو سعود,للمعلومية أبو علي كويلار كان متعرض لإصابة قدام تشيلسي في الركبة. ومع ذلك شارك بشكل أساسي يمكن الكثير من الجمهور استغربوا إنه طلع بين الشوطين لأن الرجل كان مصاب في الركبة. ولا أدري كان بيلعب المباراة الجاية ولا لا ولكنه تعرض لخلنا نقول مجهود بدني عالي وأنت شفت قدام تشيلسي كان مغطي كل متر في الملعب ومع ذلك شارك بشكل أساسي. لإنه المنطق أنه يتحامل على إصابته ولكن أتفق معك عداها ما كان منطقي أبدًا. ولكن بحسب خلنا نقول صحيفتي الجزيرة وصحيفة الرياضية أنه هذه كانت آخر مباراة ليوناردو جارديم,3541000,3795000
3891,4859.wav,لماذا فشل جارديم,00:47:27.420000,00:47:29.850000,أبو سعود,لماذا منطقي كلمني؟,3267000,3699000
3892,4860.wav,لماذا فشل جارديم,00:47:29.850000,00:48:02.070000,أبو علي,جرت العادة أنه أنت لما تبغى تقيل مدرب بعد مشاركة أو مباراة سيئة يأتي قرار قبل أول تمرين. بمعنى أنه أول تمرين للهلال بعد مباراة الأهلي المصري حيكون اليوم نحن قاعدين نسجل يوم الاثنين. رح يكون اليوم مساءً فبذلك ينبغي إذا أنت ستقيل المدرب أن المدرب لا يدير التمرين الأول اللي يكون بعد عملية الخسارة الموجودة. فبذلك أعتقد إنه منطقي جدًا أنه خلال الساعات القادمة القرار سيظهر وأعتقد أنه بات أمرًا مقضيًا أنه مرحلة جادريم مع الهلال,3699000,2952000
3893,4861.wav,لماذا فشل جارديم,00:48:02.070000,00:48:04.530000,أبو سعود,أنا وأنت مع القرار ولكن عطني الأسباب,2952000,3414000
3894,4862.wav,لماذا فشل جارديم,00:48:04.530000,00:48:07.390000,أبو علي,أنا معه من وقت سابق,3414000,3277000
3895,4863.wav,لماذا فشل جارديم,00:48:07.390000,00:48:07.930000,أبو سعود,فضفض قل رأيك,3277000,3817000
3896,4864.wav,لماذا فشل جارديم,00:48:07.930000,00:48:44.820000,أبو علي,مو من الحين ويمكن كان في وجهة نظر أن جارديم يحتاج إلى تدعيمات في الفترة الشتوية وبعدها يتم التقييم دعنا نقول تقييم آخر أو جديد للمدرب. لكن أعتقد أنه الحكم على جارديم دعنا نقول يأخذ شقّين على مستوى الدوري. كل الكوارث التي صنعها جارديم كانت على مستوى الدوري. لأن أداء الهلال فيه الهلال لأول مرة يعيش موقف أنه ممكن ترى ينهي الموسم لا بطل ولا وصيف. ما أتذكر متى آخر مرة الهلال أنهى الدوري لا بطل ولا وصيف  أتذكر ممكن لما تنافس الأهلي والنصر على الدوري,3817000,3744000
3897,4865.wav,لماذا فشل جارديم,00:48:44.820000,00:48:46.590000,أبو سعود,صح موسم اثنى عشر لا عفوًا.,3744000,3516000
3898,4866.wav,لماذا فشل جارديم,00:48:46.590000,00:48:48.060000,أبو علي,خمسة عشر وستة عشر.,3516000,2988000
3899,4867.wav,لماذا فشل جارديم,00:48:48.060000,00:48:48.540000,أبو سعود,صحيح,2988000,3468000
3900,4868.wav,لماذا فشل جارديم,00:48:48.540000,00:48:53.550000,أبو علي,اللي كانوا عفوًا أربعة عشر وخمسة عشر لإن النصر كان أولًا والأهلي كان ثانيًا.,3468000,3483000
3901,4869.wav,لماذا فشل جارديم,00:48:53.550000,00:48:57.870000,أبو سعود,ولا فقد أن يكون وصيف أو ما ترك هذا المكان إلا آخر جولة,3483000,3807000
3904,4872.wav,لماذا فشل جارديم,00:52:12.310000,00:52:13.900000,أبو سعود,الفرق بينه وبين فان ديك عشرة مليون يورو.,3442000,4033000
3908,4877.wav,لماذا فشل جارديم,00:57:40.270000,00:57:41.230000,أبو سعود,ماكل الأخضر واليابس,3730000,3691000
3911,4880.wav,لماذا فشل جارديم,01:00:12.830000,01:00:18.500000,أبو سعود,أنا خلني أختتم بما بدأت ما ودي أسهم في الملف الماضي بحكم أنك ما شاء الله يا أبو علي أشبعت الاسهاب ولكن,4442000,4118000
3912,4881.wav,لماذا فشل جارديم,01:00:18.500000,01:00:18.660000,أبو علي,رأيك مهم يا أبو سعود,4118000,4278000
3917,4886.wav,لماذا فشل جارديم,01:05:59.120000,01:05:59.720000,أبو علي,ياسر إبراهيم,4079000,4679000
3919,4888.wav,لماذا فشل جارديم,01:07:56.030000,01:07:58.550000,أبو علي,طيب السؤال المهم يا أبو سعود,4106000,4628000
3920,4889.wav,لماذا فشل جارديم,01:07:58.550000,01:07:58.700000,أبو سعود,سم,4628000,4778000
3921,4890.wav,لماذا فشل جارديم,01:07:58.700000,01:08:02.840000,أبو علي,إذا كان جارديم عند كل هذه المشاكل لماذا تم تعيينه؟,4778000,4922000
3922,4892.wav,لماذا فشل جارديم,01:08:34.940000,01:08:36.950000,أبو علي,أحتاج أنا بجانب الأداء أعتقد أنه كان أداءه عظيم جدًا,5054000,5066000
3923,4893.wav,لماذا فشل جارديم,01:08:36.950000,01:08:40.670000,أبو سعود,عظيم جدًا ما يقارب إلا موسم إيريك قيريتس,5066000,4790000
3924,4894.wav,لماذا فشل جارديم,01:08:40.670000,01:08:46.310000,أبو علي,طيب ما المشكلة يا خالد أن ذات الأشخاص اللي اختاروا رازفان هم اللي اختاروا جارديم,4790000,4436000
